-52.996, 34.148, 84.307
-52.923, 36.147, 81.239
-52.67, 38.129, 78.052
-52.122, 40.046, 74.738
-51.019, 41.69, 71.294
-49.232, 42.496, 79.657
-47.248, 42.364, 92.379
-45.352, 41.735, 95.665
-43.537, 40.896, 92.972
-41.772, 39.954, 90.199
-40.031, 38.97, 87.338
-38.289, 37.989, 84.379
-36.521, 37.053, 81.314
-34.701, 36.226, 78.129
-32.796, 35.63, 74.813
-30.812, 35.536, 71.362
-29.057, 36.429, 74.068
-28.016, 38.117, 90.557
-27.491, 40.044, 93.63
-27.271, 42.03, 93.331
-27.202, 44.029, 90.57
-27.457, 43.609, 97.775
-27.681, 41.622, 97.775
-27.876, 39.631, 97.775
-28.053, 37.639, 97.775
-28.219, 35.646, 97.775
-28.375, 33.652, 97.775
-28.522, 31.658, 97.775
-28.662, 29.663, 97.775
-28.795, 27.667, 97.775
-28.921, 25.671, 97.775
-29.04, 23.675, 97.775
-29.153, 21.678, 97.775
-29.26, 19.681, 97.775
-29.361, 17.683, 97.775
-29.456, 15.685, 97.775
-29.543, 13.687, 97.775
-29.624, 11.689, 97.775
-29.7, 9.69, 97.775
-29.769, 7.692, 97.775
-29.832, 5.693, 97.775
-29.886, 3.693, 97.775
-29.934, 1.694, 97.775
-29.976, -0.306, 97.775
-30.011, -2.305, 97.775
-30.036, -4.305, 97.775
-30.054, -6.305, 97.775
-30.064, -8.305, 97.775
-30.067, -10.305, 97.775
-30.058, -12.305, 97.775
-30.041, -14.305, 97.775
-30.015, -16.305, 97.775
-29.98, -18.305, 97.775
-29.93, -20.304, 97.775
-29.871, -22.303, 97.775
-29.802, -24.302, 97.775
-29.768, -26.301, 97.775
-29.746, -28.301, 97.775
-29.808, -30.3, 97.775
-29.9, -32.298, 97.775
-30.074, -34.29, 97.775
-30.331, -36.273, 97.528
-30.669, -38.243, 96.784
-31.114, -40.192, 95.8
-31.702, -42.104, 95.663
-32.47, -43.95, 92.97
-33.463, -45.684, 91.208
-34.718, -47.236, 89.48
-36.246, -48.517, 88.158
-38.057, -49.344, 87.908
-40.016, -49.703, 90.269
-42.007, -49.56, 91.668
-43.939, -49.061, 93.972
-45.77, -48.261, 94.797
-47.502, -47.263, 95.426
-49.112, -46.079, 96.205
-50.617, -44.763, 96.402
-52.018, -43.337, 96.49
-53.301, -41.804, 96.352
-54.457, -40.173, 96.111
-55.483, -38.457, 95.734
-56.353, -36.657, 94.44
-57.011, -34.77, 93.436
-57.44, -32.819, 91.456
-57.493, -30.824, 88.641
-57.111, -28.87, 85.742
-56.204, -27.097, 86.54
-54.772, -25.712, 88.455
-53.502, -24.246, 97.73
-52.539, -22.494, 97.177
-51.485, -20.795, 96.499
-50.321, -19.17, 95.689
-49.028, -17.646, 94.76
-47.59, -16.258, 93.758
-45.992, -15.061, 91.916
-44.215, -14.149, 91.331
-42.308, -13.564, 91.286
-40.324, -13.344, 92.553
-38.331, -13.483, 93.434
-36.379, -13.91, 95.246
-34.483, -14.544, 93.381
-32.64, -15.319, 90.621
